Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,XLE RWD,Oxygen White,50190,53679,0.0,0,50190,At dealer,False,DealerHold,2024-11-08,2024-11-08,JTDAAAAA0RA011957,Toyota Santa Monica,CA,50 State Emissions | Advanced Technology Package | Carpet Trunk Mat[installed_msrp] | Premium Paint | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Black,50190,51285,0.0,0,50190,At dealer,False,,2024-04-09,2024-04-09,JTDAAAAA1RA011529,Stevens Creek Toyota,CA,50 State Emissions | No Additional Gas
2024,XLE RWD,Heavy Metal,50190,53569,0.0,0,50190,At dealer,False,DealerHold,2024-05-15,2024-05-20,JTDAAAAA1RA011742,Toyota of Orange,CA,50 State Emissions | Advanced Technology Package | Carpet Trunk Mat[installed_msrp] | No Additional Gas | Premium Paint | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Heavy Metal,50190,51750,0.0,0,50190,At dealer,False,,,,JTDAAAAA1RA011854,San Francisco Toyota,CA,50 State Emissions | Owner's Portfolio | Premium Paint
2024,XLE RWD,Heavy Metal,50190,54138,0.0,0,50190,At dealer,False,DealerHold,,,JTDAAAAA1RA011952,Toyota of Orange,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Carpet Trunk Mat[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Premium Paint | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Elemental Silver Metallic,50190,53614,53614.0,0,50190,At dealer,False,Available,2024-04-04,2024-04-05,JTDAAAAA2RA011488,Longo Toyota,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | No Additional Gas | Premium Paint
2024,XLE RWD,Elemental Silver Metallic,50190,53788,0.0,0,50190,At dealer,False,DealerHold,2024-10-10,2024-10-10,JTDAAAAA2RA011927,Toyota of Orange,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Carpet Trunk Mat[installed_msrp] | Premium Paint | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Oxygen White,50190,51750,0.0,0,50190,Port to dealer,False,,2024-12-21,2024-12-27,JTDAAAAA3RA011905,Dublin Toyota,CA,50 State Emissions | Premium Paint
2024,XLE RWD,Oxygen White,50190,51924,0.0,0,50190,Port to dealer,False,,,,JTDAAAAA3RA011922,Dublin Toyota,CA,50 State Emissions | Carpet Trunk Mat[installed_msrp] | Courtesy Delivery Veh/TMS/NFS | Premium Paint | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Elemental Silver Metallic,50190,54113,0.0,0,50190,At dealer,False,DealerHold,,,JTDAAAAA3RA011936,Toyota of Orange,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Carpet Trunk Mat[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Premium Paint | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Oxygen White,50190,53788,0.0,0,50190,At dealer,False,DealerHold,2024-11-12,2024-11-13,JTDAAAAA3RA011967,Toyota of Orange,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Carpet Trunk Mat[installed_msrp] | Premium Paint | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Elemental Silver Metallic,50190,54113,0.0,0,50190,At dealer,False,DealerHold,2024-11-04,2024-11-04,JTDAAAAA4RA011931,Toyota of Orange,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Carpet Trunk Mat[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Premium Paint | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Oxygen White,50190,51750,0.0,0,50190,At dealer,False,,,,JTDAAAAA6RA011820,San Francisco Toyota,CA,50 State Emissions | Owner's Portfolio | Premium Paint
2024,XLE RWD,Heavy Metal,50190,53858,0.0,0,50190,At dealer,False,DealerHold,2024-09-10,2024-09-11,JTDAAAAA6RA011896,Toyota of Orange,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Carpet Trunk Mat[installed_msrp] | Premium Paint | Quick Charging Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Heavy Metal,50190,53435,0.0,0,50190,Port to dealer,False,,2024-12-21,2024-12-22,JTDAAAAA7RA011731,Dublin Toyota,CA,50 State Emissions | Advanced Technology Package | Premium Paint
2024,XLE RWD,Black,50190,53688,0.0,0,50190,At dealer,False,DealerHold,2024-11-08,2024-11-08,JTDAAAAA7RA011955,Toyota Santa Monica,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Carpet Trunk Mat[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Elemental Silver Metallic,50190,54113,0.0,0,50190,At dealer,False,DealerHold,,,JTDAAAAA8RA011947,Toyota of Orange,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Carpet Trunk Mat[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Premium Paint | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Elemental Silver Metallic,50190,51750,0.0,0,50190,At dealer,False,,2024-12-20,2024-12-21,JTDAAAAA8RA011964,Dublin Toyota,CA,50 State Emissions | Premium Paint
2024,XLE RWD,Heavy Metal,50190,51750,0.0,0,50190,At dealer,False,,,,JTDAAAAA9RA011858,San Francisco Toyota,CA,50 State Emissions | Owner's Portfolio | Premium Paint
2024,XLE RWD,Oxygen White,50190,53813,0.0,0,50190,At dealer,False,DealerHold,2024-09-09,2024-09-09,JTDAAAAA9RA011911,Toyota of Orange,CA,50 State Emissions | Advanced Technology Package | All-Weather Floor Liner Package[installed_msrp] | Carpet Trunk Mat[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Premium Paint | Rear Bumper Applique[installed_msrp]
2024,XLE RWD,Elemental Silver Metallic,50190,51750,0.0,0,50190,Port to dealer,False,,2024-12-21,2024-12-27,JTDAAAAA9RA011939,Dublin Toyota,CA,50 State Emissions | Premium Paint
2024,XLE RWD,Supersonic Red,50190,53500,0.0,0,50190,At dealer,False,,2024-04-09,2024-04-09,JTDAAAAAXRA011612,Stevens Creek Toyota,CA,50 State Emissions | Advanced Technology Package | Carpet Trunk Mat[installed_msrp] | No Additional Gas | Premium Paint
2024,XLE RWD,Heavy Metal,50190,53435,0.0,0,50190,At dealer,False,,2024-12-20,2024-12-21,JTDAAAAAXRA011707,Dublin Toyota,CA,50 State Emissions | Advanced Technology Package | Premium Paint
2024,XLE RWD,Hydro Blue,50190,51750,0.0,0,50190,At dealer,False,,2024-11-09,2024-11-11,JTDAAAAAXRA011903,San Francisco Toyota,CA,50 State Emissions | Owner's Portfolio | Premium Paint
